Final Volume (m^3),Work Done (J)
0.1,-0.0
0.10202020202020202,-49.686644688513674
0.10404040404040404,-98.01460715298606
0.10606060606060606,-145.04635956176713
0.10808080808080808,-190.84038117849212
0.11010101010101012,-235.45148254059077
0.11212121212121212,-278.9310979211524
0.11414141414141415,-321.32754968646435
0.11616161616161617,-362.6862876941335
0.1181818181818182,-403.05010647680047
0.12020202020202021,-442.45934261326505
0.12222222222222223,-480.9520543935777
0.12424242424242425,-518.5641856299023
0.12626262626262627,-555.3297152446187
0.1282828282828283,-591.2807940760865
0.1303030303030303,-626.4478701764423
0.13232323232323234,-660.859803731154
0.13434343434343435,-694.5439726037498
0.13636363636363638,-727.5263693986501
0.1383838383838384,-759.8316908381116
0.14040404040404042,-791.4834201641885
0.14242424242424245,-822.5039032016446
0.14444444444444446,-852.914418651672
0.14646464646464646,-882.7352431278473
0.1484848484848485,-911.9857113940516
0.15050505050505053,-940.6842722182344
0.15252525252525254,-968.8485402151639
0.15454545454545457,-996.495344015074
0.15656565656565657,-1023.6407710628068
0.1585858585858586,-1050.3002093232465
0.16060606060606064,-1076.4883861430435
0.16262626262626265,-1102.2194044955834
0.16464646464646465,-1127.5067768154513
0.16666666666666669,-1152.3634566100877
0.16868686868686872,-1176.8018680196224
0.17070707070707072,-1200.833933480863
0.17272727272727273,-1224.4710996378521
0.17474747474747476,-1247.7243616291817
0.1767676767676768,-1270.6042858712103
0.17878787878787883,-1293.1210314463342
0.18080808080808083,-1315.2843701963952
0.18282828282828284,-1337.1037056131104
0.18484848484848487,-1358.5880906099433
0.1868686868686869,-1379.7462442530655
0.1888888888888889,-1400.5865675228931
0.19090909090909092,-1421.1171581720598
0.19292929292929295,-1441.3458247405756
0.19494949494949498,-1461.2800997842435
0.196969696969697,-1480.9272523681384
0.19898989898989902,-1500.294299873051
0.20101010101010103,-1519.3880191592134
0.20303030303030306,-1538.2149571283771
0.2050505050505051,-1556.7814407222745
0.2070707070707071,-1575.0935863927743
0.2090909090909091,-1593.1573090764903
0.21111111111111114,-1610.9783307042776
0.21313131313131317,-1628.5621882739204
0.21515151515151518,-1645.9142415123285
0.21717171717171718,-1663.039680151759
0.21919191919191922,-1679.9435308428842
0.22121212121212125,-1696.6306637259959
0.22323232323232328,-1713.1057986802025
0.2252525252525253,-1729.373511269148
0.2272727272727273,-1745.4382384005662
0.22929292929292933,-1761.3042837158498
0.23131313131313136,-1776.9758227247626
0.23333333333333336,-1792.4569076994587
0.2353535353535354,-1807.7514723410645
0.2373737373737374,-1822.8633362312353
0.23939393939393944,-1837.796209080347
0.24141414141414144,-1852.5536947832206
0.24343434343434348,-1867.1392952926492
0.24545454545454548,-1881.5564143203292
0.24747474747474751,-1895.8083608742513
0.24949494949494952,-1909.898352641034
0.2515151515151516,-1923.8295192212038
0.2535353535353536,-1937.6049052249205
0.2555555555555556,-1951.2274732352485
0.2575757575757576,-1964.7001066456178
0.2595959595959596,-1978.0256123777658
0.26161616161616164,-1991.206723486082
0.26363636363636367,-2004.2461016539303
0.2656565656565657,-2017.1463395872304
0.26767676767676774,-2029.9099633102628
0.26969696969696977,-2042.5394343683997
0.27171717171717175,-2055.0371519421997
0.2737373737373738,-2067.405454877063
0.2757575757575758,-2079.646623632415
0.2777777777777778,-2091.7628821541657
0.2797979797979798,-2103.756399674013
0.28181818181818186,-2115.629292438938
0.2838383838383839,-2127.3836253740847
0.2858585858585859,-2139.0214136820487
0.28787878787878796,-2150.5446243814285
0.28989898989898993,-2161.9551777873603
0.29191919191919197,-2173.254948936606
0.29393939393939394,-2184.4457689596447
0.295959595959596,-2195.5294264020827
0.297979797979798,-2206.5076684975843
0.30000000000000004,-2217.382202394427
